anio,monto_usd
1824,4860.0
1864,2290.0
1865,2190.0
1866,5800.0
1867,13940.0
1868,23070.0
1869,22460.0
1870,21840.0
1871,49860.0
1872,48330.0
1873,46800.0
1874,45180.0
1875,41900.0
1876,40010.0
1877,38070.0
1878,36070.0
1879,34010.0
1880,31880.0
1881,53980.0
1882,55990.0
1883,77790.0
1884,88920.0
1885,50140.0
1886,50940.0
1887,64660.0
1888,57890.0
1889,58470.0
1890,49280.0
1891,76820.0
1892,123730.0
1893,128880.0
1894,117310.0
1895,127000.0
1896,160570.0
1897,175780.0
1898,268900.0
1899,335810.0
1900,377050.0
1901,374520.0
1902,368990.0
1903,363590.0
1904,359000.0
1905,318440.0
1906,314570.0
1907,301950.0
1908,304750.0
1909,301630.0
1910,294600.0
1911,291500.0
1912,286230.0
1913,296800.0
1914,300460.0
1915,293950.0
1916,290570.0
1917,293920.0
1918,286960.0
1919,271710.0
1920,234840.0
1921,178400.0
1922,193090.0
1923,185640.0
1924,235210.0
1925,335080.0
1926,359950.0
1927,467360.0
1928,471270.0
1929,448060.0
1930,377940.0
1931,329460.0
1932,272080.0
1933,410090.0
1934,328970.0
1935,327800.0
1936,340000.0
1937,280030.0
1938,253490.0
1939,266350.0
1940,254970.0
1941,253660.0
1942,239010.0
1943,218600.0
1944,130520.00000000001
1945,119580.0
1946,26670.0
1947,21500.0
1948,9130.0
1949,4400.0
1950,2410.0
1951,1090.0
1952,530.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,142100.0
1962,2649300.0
1963,2671600.0
1964,2398000.0
1965,2292100.0
1966,2476200.0
1967,1999000.0
1968,1754400.0
1969,1996300.0
1970,2143400.0
1971,2526800.0
1972,3045900.0
1973,3316400.0
1974,3878500.0
1975,4941000.0
1976,6647500.0
1977,8126700.0
1978,9452800.0
1979,9960300.0
1980,14459000.0
1981,20024000.0
1982,24280000.0
1983,31709000.0
1984,35527000.0
1985,40868000.0
1986,44726000.0
1987,51793000.0
1988,53468000.0
1989,58397000.0
1990,55125000.0
1991,52739000.0
1992,50678000.0
1993,53620000.0
1994,61267500.0
1995,67191500.0
1996,74113000.0
1997,74912000.0
1998,83111000.0
1999,84750250.0
2000,84936080.0
2001,87907000.0
2002,91246930.0
2003,105894800.0
2004,115883620.0
2005,154270000.0
2006,165111000.0
2007,176870000.0
2008,179133000.0
2009,182080000.0
2010,181621000.0
2011,197154000.0
2012,216920000.0
2013,223439000.0
2014,239326000.0
2015,240665000.0
2016,275446000.0
2017,320335000.0
2018,332192000.0
2019,323065000.0
2020,335582000.0
2021,363233000.0
2022,396555000.0
2023,403836000.0
